bucket,object_key,size_bytes,created_at,affected_armor_versions
iad-ci,"forgejo/wal/basebackups_005/base_000000010000000000000002/tar_partitions/part_001.tar.lz4",5801355,2026-05-11T02:06:42.677000+00:00,"0.1.16"
iad-ci,"forgejo/wal/basebackups_005/base_0000000100000000000000BD/tar_partitions/part_001.tar.lz4",6282579,2026-05-16T09:31:40.870000+00:00,"0.1.24"
iad-kalshi,"raw/2026-05-18/13/ws.jsonl.gz",8392768,2026-05-18T14:00:32.628000+00:00,"0.1.24"
iad-kalshi,"raw/2026-05-18/14/ws.jsonl.gz",8392768,2026-05-18T15:00:32.227000+00:00,"0.1.24"
iad-kalshi,"raw/2026-05-18/15/ws.jsonl.gz",8392768,2026-05-18T16:00:31.184000+00:00,"0.1.24"
iad-kalshi,"raw/2026-05-18/16/ws.jsonl.gz",8392768,2026-05-18T17:00:34.004000+00:00,"0.1.24"
iad-kalshi,"raw/2026-05-18/17/ws.jsonl.gz",8392768,2026-05-18T18:00:32.568000+00:00,"0.1.24"
iad-kalshi,"raw/2026-05-18/18/ws.jsonl.gz",8392768,2026-05-18T19:00:32.788000+00:00,"0.1.24"
iad-kalshi,"raw/2026-05-18/19/ws.jsonl.gz",8392768,2026-05-18T20:00:33.451000+00:00,"0.1.24"
iad-kalshi,"raw/2026-05-18/21/ws.jsonl.gz",24962945,2026-05-19T02:00:05.440000+00:00,"0.1.24"
iad-kalshi,"raw/2026-05-19/01/ws.jsonl.gz",9757382,2026-05-19T02:00:15.652000+00:00,"0.1.24"
iad-kalshi,"parquet/2026-05-19/01/orderbook_delta.parquet",8889084,2026-05-19T02:00:40.760000+00:00,"0.1.24"
iad-kalshi,"parquet/2026-05-18/21/orderbook_delta.parquet",24482850,2026-05-19T02:00:59.289000+00:00,"0.1.24"
iad-kalshi,"raw/2026-05-18/22/ws.jsonl.gz",25080186,2026-05-19T02:01:14.269000+00:00,"0.1.24"
iad-kalshi,"parquet/2026-05-18/22/orderbook_delta.parquet",25653750,2026-05-19T02:02:21.810000+00:00,"0.1.24"
iad-kalshi,"raw/2026-05-18/23/ws.jsonl.gz",17790212,2026-05-19T02:02:32.173000+00:00,"0.1.24"
iad-kalshi,"parquet/2026-05-18/23/orderbook_delta.parquet",16890626,2026-05-19T02:02:55.509000+00:00,"0.1.24"
iad-kalshi,"raw/2026-05-19/02/ws.jsonl.gz",10853086,2026-05-19T03:00:15.151000+00:00,"0.1.24"
iad-kalshi,"parquet/2026-05-19/02/orderbook_delta.parquet",10459937,2026-05-19T03:00:29.666000+00:00,"0.1.24"
iad-kalshi,"raw/2026-05-19/03/ws.jsonl.gz",8843537,2026-05-19T04:00:15.493000+00:00,"0.1.24"
iad-kalshi,"parquet/2026-05-19/03/orderbook_delta.parquet",8584255,2026-05-19T04:00:25.383000+00:00,"0.1.24"
iad-kalshi,"raw/2026-05-19/04/ws.jsonl.gz",12657902,2026-05-19T05:00:17.953000+00:00,"0.1.24"
iad-kalshi,"parquet/2026-05-19/04/orderbook_delta.parquet",12322233,2026-05-19T05:01:03.563000+00:00,"0.1.24"
iad-kalshi,"raw/2026-05-19/05/ws.jsonl.gz",17046184,2026-05-19T06:00:17.933000+00:00,"0.1.24"
iad-kalshi,"parquet/2026-05-19/05/orderbook_delta.parquet",16668012,2026-05-19T06:00:35.401000+00:00,"0.1.24"
iad-kalshi,"raw/2026-05-19/06/ws.jsonl.gz",12649514,2026-05-19T07:00:18.248000+00:00,"0.1.24"
iad-kalshi,"parquet/2026-05-19/06/orderbook_delta.parquet",12560678,2026-05-19T07:00:38.180000+00:00,"0.1.24"
iad-kalshi,"raw/2026-05-19/07/ws.jsonl.gz",16075119,2026-05-19T08:00:17.665000+00:00,"0.1.24"
iad-kalshi,"parquet/2026-05-19/07/orderbook_delta.parquet",16135928,2026-05-19T08:00:35.948000+00:00,"0.1.24"
iad-kalshi,"raw/2026-05-19/08/ws.jsonl.gz",15573349,2026-05-19T09:00:17.536000+00:00,"0.1.24"
iad-kalshi,"parquet/2026-05-19/08/orderbook_delta.parquet",15265569,2026-05-19T09:00:33.826000+00:00,"0.1.24"
iad-kalshi,"raw/2026-05-19/09/ws.jsonl.gz",13003235,2026-05-19T10:00:17.299000+00:00,"0.1.24"
iad-kalshi,"parquet/2026-05-19/09/orderbook_delta.parquet",13237649,2026-05-19T10:00:33.113000+00:00,"0.1.24"
iad-kalshi,"raw/2026-05-19/10/ws.jsonl.gz",15398472,2026-05-19T11:00:18.298000+00:00,"0.1.24"
iad-kalshi,"parquet/2026-05-19/10/orderbook_delta.parquet",15070638,2026-05-19T11:00:37.686000+00:00,"0.1.24"
iad-kalshi,"raw/2026-05-19/11/ws.jsonl.gz",19581572,2026-05-19T12:00:19.616000+00:00,"0.1.24"
iad-kalshi,"parquet/2026-05-19/11/orderbook_delta.parquet",18442543,2026-05-19T12:00:39.954000+00:00,"0.1.24"
iad-kalshi,"raw/2026-05-19/12/ws.jsonl.gz",20129369,2026-05-19T13:00:20.165000+00:00,"0.1.24"
iad-kalshi,"parquet/2026-05-19/12/orderbook_delta.parquet",19413691,2026-05-19T13:00:42.859000+00:00,"0.1.24"
iad-kalshi,"raw/2026-05-19/13/ws.jsonl.gz",17480021,2026-05-19T14:00:19.048000+00:00,"0.1.24"
iad-kalshi,"parquet/2026-05-19/13/orderbook_delta.parquet",16756664,2026-05-19T14:00:52.262000+00:00,"0.1.24"
iad-kalshi,"raw/2026-05-19/14/ws.jsonl.gz",18953351,2026-05-19T15:00:19.756000+00:00,"0.1.24"
